Geneid	Ch_A1_featurecounts.txt	Ch_A2_featurecounts.txt	Ch_A3_featurecounts.txt	Ch_B1_featurecounts.txt	Ch_B2_featurecounts.txt	Ch_B3_featurecounts.txt	Ch_C1_featurecounts.txt	Ch_C2_featurecounts.txt	Ch_C3_featurecounts.txt	external_gene_name
ENSG00000002822	7	9	9	13	16	10	20	27	11	MAD1L1
ENSG00000002834	3541	4606	5262	4013	4169	3913	6175	5613	3622	LASP1
ENSG00000002919	1677	1521	1777	1886	1602	2010	2612	2470	2219	SNX11
ENSG00000002933	2	1	4	10	6	5	26	24	8	TMEM176A
ENSG00000003056	2138	3129	3553	2563	3412	2842	4464	4267	2540	M6PR
ENSG00000003096	9144	11447	12670	12646	16615	14564	15025	18327	12004	KLHL13
ENSG00000003137	9	6	2	3	0	5	0	0	0	CYP26B1
ENSG00000003147	2604	1998	2706	1964	1523	2013	2239	2569	2542	ICA1
ENSG00000003249	2288	2208	2587	2223	1854	2389	3734	2855	2613	DBNDD1
ENSG00000003393	1180	2168	2211	1658	2032	1650	2779	3031	1472	ALS2
ENSG00000003400	0	0	0	4	0	1	0	6	0	CASP10
ENSG00000003402	827	886	997	881	1006	913	1017	1149	678	CFLAR
ENSG00000003436	939	782	902	461	343	288	107	173	197	TFPI
ENSG00000003509	598	529	568	680	508	632	464	531	601	NDUFAF7
ENSG00000003756	2854	2799	3493	2754	2463	2703	3081	3163	2463	RBM5
ENSG00000003987	158	213	230	247	307	231	362	579	287	MTMR7
ENSG00000003989	1203	2328	2318	2850	5654	3419	4793	6195	2688	SLC7A2
ENSG00000004059	7484	4902	5717	7510	4423	7231	6647	5720	6584	ARF5
ENSG00000004139	790	1546	1562	950	1199	926	2245	2145	909	SARM1
ENSG00000004142	5532	4443	4929	6040	4543	6007	6861	6055	6284	POLDIP2
ENSG00000004399	1173	1348	1527	1132	1209	1167	1182	1007	639	PLXND1
ENSG00000004455	3715	3294	3651	4369	3263	3850	4330	4471	3934	AK2
ENSG00000004468	25	37	23	8	11	14	7	2	4	CD38
ENSG00000004478	5602	4236	4924	6291	4154	5838	7083	6422	6479	FKBP4
ENSG00000004487	8743	8629	9448	9772	8909	9512	9792	10565	8326	KDM1A
ENSG00000004534	3833	3417	4518	4044	3354	3866	4159	4007	3358	RBM6
ENSG00000004660	329	291	356	251	227	325	529	472	418	CAMKK1
ENSG00000004700	693	1455	1589	974	1535	1032	1527	1890	945	RECQL
ENSG00000004766	1249	1375	1628	1333	1515	1358	1149	1811	1304	VPS50
ENSG00000004776	22	35	37	17	21	19	24	29	13	HSPB6
ENSG00000004777	617	732	963	574	564	532	1156	1025	628	ARHGAP33
ENSG00000004779	2862	1787	1953	2996	1743	2604	1881	2036	2662	NDUFAB1
ENSG00000004799	196	296	258	129	195	141	137	162	106	PDK4
ENSG00000004809	0	0	0	0	0	0	0	0	4	SLC22A16
ENSG00000004838	108	66	60	88	33	80	68	77	82	ZMYND10
ENSG00000004846	0	0	0	0	0	0	0	0	0	ABCB5
ENSG00000004848	1	0	0	0	0	0	0	0	0	ARX
ENSG00000004864	3650	4500	4849	4016	4343	4353	5435	6119	4542	SLC25A13
ENSG00000004866	908	851	797	988	804	1013	1291	1359	1135	ST7
ENSG00000004897	2512	3301	3413	2704	3897	3193	2780	4317	2811	CDC27
ENSG00000004939	0	0	0	0	0	0	2	0	0	SLC4A1
ENSG00000004948	0	0	6	0	0	0	0	2	0	CALCR
ENSG00000004961	1028	1005	1093	1151	1032	1207	778	1245	1104	HCCS
ENSG00000004975	3059	4010	4043	3324	3538	3752	5213	4263	2960	DVL2
ENSG00000005001	2	1	0	0	0	4	0	0	0	PRSS22
ENSG00000005007	5377	6886	7377	5884	6233	5999	9066	8246	5052	UPF1
ENSG00000005020	38	51	56	79	72	40	19	30	39	SKAP2
ENSG00000005022	9294	6582	7129	10591	6629	9421	8290	8437	9620	SLC25A5
ENSG00000005059	488	324	391	539	379	509	409	536	702	MCUB
ENSG00000005073	2	0	0	0	0	0	10	1	8	HOXA11
ENSG00000005075	3796	2376	2480	3643	2042	3579	2568	2653	3230	POLR2J
ENSG00000005100	1802	2901	2905	1967	2890	2116	2475	3283	1635	DHX33
ENSG00000005102	9	1	7	1	0	2	0	0	4	MEOX1
ENSG00000005108	1535	3270	3056	2654	5212	2868	5201	5515	2724	THSD7A
ENSG00000005156	1086	1557	1572	1147	1545	1314	2240	2068	1156	LIG3
ENSG00000005175	1444	1396	1430	1497	1448	1354	1007	1626	1455	RPAP3
ENSG00000005187	6	6	8	28	13	6	4	7	11	ACSM3
ENSG00000005189	423	362	430	536	357	517	557	599	663	REXO5
ENSG00000005194	4090	3078	3454	4648	2977	4017	4765	4444	4458	CIAPIN1
ENSG00000005206	2125	1680	2555	2281	1503	2043	2124	1817	1674	SPPL2B
ENSG00000005238	1392	1257	1630	1490	1247	1709	2175	1922	1662	ATOSB
ENSG00000005243	434	209	239	442	221	419	332	317	442	COPZ2
ENSG00000005249	2591	3324	3005	2728	3001	2873	1994	3143	2994	PRKAR2B
ENSG00000005302	1674	1764	1958	2069	1890	1868	1724	2167	1680	MSL3
ENSG00000005339	2621	5263	5123	2622	4560	3119	6895	6056	2442	CREBBP
ENSG00000005379	301	329	473	421	431	372	613	465	326	TSPOAP1
ENSG00000005381	0	0	0	6	0	2	0	0	0	MPO
ENSG00000005421	0	0	0	10	11	2	5	4	4	PON1
ENSG00000005436	695	712	759	851	936	880	598	740	846	GCFC2
ENSG00000005448	2099	1282	1515	2362	1338	2095	2612	2283	2820	WDR54
ENSG00000005469	645	627	758	986	949	872	818	1170	965	CROT
ENSG00000005471	333	382	386	609	688	692	563	756	455	ABCB4
ENSG00000005483	1699	4067	4126	1975	3730	2167	3990	4701	1738	KMT2E
ENSG00000005486	7585	6143	7017	7443	5470	7869	10833	9764	8963	RHBDD2
ENSG00000005513	0	0	0	0	0	0	0	0	0	SOX8
ENSG00000005700	1687	2635	2595	2445	3395	2731	2134	3324	2174	IBTK
ENSG00000005801	1386	1554	1499	1691	1677	1544	1180	1722	1511	ZNF195
ENSG00000005810	838	1682	1445	983	1741	1084	2761	2722	1088	MYCBP2
ENSG00000005812	811	974	790	793	1035	878	316	750	842	FBXL3
ENSG00000005844	0	1	2	0	1	0	4	4	0	ITGAL
ENSG00000005882	631	943	933	724	614	811	1032	1067	749	PDK2
ENSG00000005884	816	1059	1244	1391	1097	1212	2609	2193	1573	ITGA3
ENSG00000005889	1107	1387	1444	1262	1425	1112	1126	1451	982	ZFX
ENSG00000005893	2334	3225	3407	2958	3839	3095	2210	3799	2651	LAMP2
ENSG00000005961	97	82	111	90	80	105	106	94	74	ITGA2B
ENSG00000005981	4	6	5	10	2	2	8	21	6	ASB4
ENSG00000006007	2039	2250	2335	2663	2542	2842	2926	3263	2784	GDE1
ENSG00000006015	2904	1517	1897	2825	1359	2556	2045	1917	2466	REX1BD
ENSG00000006016	70	57	76	93	50	102	52	60	43	CRLF1
ENSG00000006025	1013	1115	1549	1239	1169	1091	1447	1258	958	OSBPL7
ENSG00000006042	6253	4908	5765	6545	4482	6132	5431	5375	5636	TMEM98
ENSG00000006047	921	936	1100	1414	1092	1413	2187	1558	1491	YBX2
ENSG00000006059	0	0	0	0	0	0	0	0	0	KRT33A
ENSG00000006062	215	206	292	230	197	286	370	276	189	MAP3K14
ENSG00000006071	132	165	229	272	275	349	254	212	64	ABCC8
ENSG00000006116	0	0	0	0	0	0	0	0	0	CACNG3
ENSG00000006118	11550	10296	12649	13146	10538	13892	16239	13739	12308	TMEM132A
ENSG00000006125	7304	10854	11776	9600	11717	10011	19550	19936	10635	AP2B1
ENSG00000006128	0	0	0	0	0	0	0	0	0	TAC1
ENSG00000006194	641	631	811	594	688	717	905	761	546	ZNF263
ENSG00000006210	1418	1521	1716	2094	2126	2307	2660	2385	1852	CX3CL1
ENSG00000006282	4271	3625	4399	5353	4108	5034	5071	5005	4034	SPATA20
ENSG00000006283	96	180	163	447	650	553	894	628	407	CACNA1G
ENSG00000006327	1128	909	1009	1842	1340	1836	1798	1418	1489	TNFRSF12A
ENSG00000006377	166	165	236	127	207	215	284	233	181	DLX6
ENSG00000006432	430	879	1062	598	1145	712	2311	2070	821	MAP3K9
ENSG00000006451	3737	3625	3776	4009	4009	4085	2714	3997	4068	RALA
ENSG00000006453	274	276	324	652	443	596	458	532	433	BAIAP2L1
ENSG00000006459	721	1270	1336	684	1489	760	1043	1627	639	KDM7A
ENSG00000006468	2636	3350	3575	2967	4523	3184	3281	4248	3197	ETV1
ENSG00000006530	1725	1835	2085	2059	2142	2331	2124	2485	1951	AGK
ENSG00000006534	290	244	379	512	434	398	294	254	191	ALDH3B1
ENSG00000006555	0	0	0	2	0	0	0	0	0	TTC22
ENSG00000006576	1421	2063	1897	1713	2228	1678	1397	2444	1617	PHTF2
ENSG00000006606	7	0	0	2	6	0	4	4	0	CCL26
ENSG00000006607	1398	2617	2704	1455	2531	1662	2667	3213	1592	FARP2
ENSG00000006611	0	0	0	4	0	0	0	0	0	USH1C
ENSG00000006625	1047	737	623	1219	738	1001	490	672	1267	GGCT
ENSG00000006634	1742	1532	1582	2175	1803	2095	707	1724	1726	DBF4
ENSG00000006638	79	93	95	109	105	119	162	169	130	TBXA2R
ENSG00000006652	615	364	355	638	369	570	58	238	550	IFRD1
ENSG00000006659	0	0	0	0	0	0	0	0	0	LGALS14
ENSG00000006695	548	729	871	689	575	653	1005	919	649	COX10
ENSG00000006704	2546	2766	3528	2742	2480	3084	3598	3287	2418	GTF2IRD1
ENSG00000006712	3317	2274	2686	3798	2219	3177	3394	2946	3133	PAF1
ENSG00000006715	3339	4257	4470	4385	4948	4410	4584	5882	3834	VPS41
ENSG00000006740	10	16	5	9	6	21	13	13	6	ARHGAP44
ENSG00000006744	2886	2645	3081	3211	2625	3321	3914	3654	3040	ELAC2
ENSG00000006747	0	0	0	0	1	0	0	3	10	SCIN
ENSG00000006756	951	1218	1333	1072	1039	1047	1613	1452	1000	ARSD
ENSG00000006757	391	270	328	403	288	333	429	443	467	PNPLA4
ENSG00000006788	3	1	8	17	13	17	19	17	19	MYH13
ENSG00000006831	2223	2914	3138	2570	2938	2678	3633	3999	2598	ADIPOR2
ENSG00000006837	23	18	35	28	30	40	15	28	17	CDKL3
ENSG00000007001	2	2	1	4	3	0	1	2	0	UPP2
ENSG00000007038	0	0	0	0	0	0	0	0	0	PRSS21
ENSG00000007047	2391	2581	3239	2485	2348	2907	3985	3410	2580	MARK4
ENSG00000007062	39	59	65	152	137	155	103	123	82	PROM1
ENSG00000007080	4836	2880	3514	5021	2744	4821	4581	3792	4875	CCDC124
ENSG00000007129	0	0	0	0	0	0	0	0	0	CEACAM21
ENSG00000007168	4940	6681	7516	5511	6733	5408	7192	9500	5736	PAFAH1B1
ENSG00000007171	30	41	22	75	73	40	41	49	26	NOS2
ENSG00000007174	2	4	0	10	4	4	4	3	0	DNAH9
ENSG00000007202	3033	5241	5638	3408	5377	4070	9252	8036	3778	BLTP2
ENSG00000007216	0	0	0	0	0	0	0	0	0	SLC13A2
ENSG00000007237	101	136	176	127	128	103	222	214	127	GAS7
ENSG00000007255	1327	721	776	1123	546	1009	772	665	901	TRAPPC6A
ENSG00000007264	4	0	0	2	0	0	0	0	0	MATK
ENSG00000007306	0	0	0	0	0	0	0	0	0	CEACAM7
ENSG00000007312	0	0	0	0	2	0	1	0	0	CD79B
ENSG00000007314	0	0	0	1	0	0	0	3	0	SCN4A
ENSG00000007341	427	465	464	428	397	465	412	557	432	ST7L
ENSG00000007350	10	0	2	0	0	4	0	2	0	TKTL1
ENSG00000007372	0	0	0	3	0	0	0	0	0	PAX6
ENSG00000007376	1927	1471	1615	2329	1249	2187	1798	1606	1686	RPUSD1
ENSG00000007384	858	929	1277	1128	900	1000	1242	1139	807	RHBDF1
ENSG00000007392	3517	2489	3081	3740	2249	3153	2542	3002	2995	LUC7L
ENSG00000007402	6712	10897	13841	8276	9819	8880	14842	12479	6619	CACNA2D2
ENSG00000007516	16	12	29	47	24	43	67	28	26	BAIAP3
ENSG00000007520	3292	1826	2213	3094	1582	2954	2553	2036	2652	TSR3
ENSG00000007541	3202	2155	2968	3148	1991	3070	3371	2912	2722	PIGQ
ENSG00000007545	1014	780	941	959	747	817	932	846	656	CRAMP1
ENSG00000007866	1049	972	1241	1045	1004	1096	1630	1278	918	TEAD3
ENSG00000007908	2	6	12	3	11	8	12	20	4	SELE
ENSG00000007923	1509	2051	2406	1921	1831	1881	2645	2615	1647	DNAJC11
ENSG00000007933	0	0	0	0	0	0	0	0	0	FMO3
ENSG00000007944	136	206	181	196	264	194	216	271	143	MYLIP
ENSG00000007952	33	27	19	38	31	23	2	6	35	NOX1
ENSG00000007968	1236	1674	1781	1836	1731	1837	3135	2768	1792	E2F2
ENSG00000008018	7923	4455	4808	8699	4549	7395	5843	5850	7366	PSMB1
ENSG00000008056	107	140	130	191	176	202	886	750	637	SYN1
ENSG00000008083	844	1627	1541	1072	1763	1386	2169	2264	1215	JARID2
ENSG00000008086	297	578	563	471	717	519	932	1037	373	CDKL5
ENSG00000008118	86	80	87	31	41	38	121	95	30	CAMK1G
ENSG00000008128	63	39	69	73	47	58	37	36	37	CDK11A
ENSG00000008130	2589	3044	3356	2751	2645	2901	4411	4271	3029	NADK
ENSG00000008196	10093	13530	15049	8481	9904	8766	11698	12410	8583	TFAP2B
ENSG00000008197	0	0	0	0	0	0	0	0	0	TFAP2D
ENSG00000008226	26	15	16	3	4	11	2	11	5	DLEC1
ENSG00000008256	1579	2024	2310	2719	3157	2788	2648	2653	1680	CYTH3
ENSG00000008277	3301	6699	6135	5618	9523	5905	8088	11128	4917	ADAM22
ENSG00000008282	3345	3121	3013	3069	3023	3207	1608	2564	2666	SYPL1
ENSG00000008283	19331	18469	22008	16557	13771	16588	30462	28235	24121	CYB561
ENSG00000008294	4114	6754	6873	5037	7249	4965	7279	9270	5038	SPAG9
ENSG00000008300	4026	7472	8965	3773	5809	3970	12496	9981	4286	CELSR3
ENSG00000008311	173	205	214	114	132	100	45	62	41	AASS
ENSG00000008323	20	16	33	28	27	29	4	4	4	PLEKHG6
ENSG00000008324	931	500	555	914	476	674	288	484	799	SS18L2
ENSG00000008382	638	399	476	628	321	588	663	512	588	MPND
ENSG00000008394	0	0	0	18	0	0	0	0	2	MGST1
ENSG00000008405	895	934	1043	772	834	741	712	1015	714	CRY1
ENSG00000008438	1	1	2	6	3	2	9	4	2	PGLYRP1
ENSG00000008441	3011	4601	5077	2885	4050	3534	4998	4450	2527	NFIX
ENSG00000008513	623	907	955	593	884	709	809	991	526	ST3GAL1
ENSG00000008516	31	36	23	154	100	148	158	123	98	MMP25
ENSG00000008517	10899	6438	7476	11113	6150	9735	8685	7679	10382	IL32
ENSG00000008710	2614	6179	7615	2980	5572	3322	12850	10138	3327	PKD1
ENSG00000008735	3030	2733	3210	2047	1801	2155	6464	6019	5023	MAPK8IP2
ENSG00000008838	3407	3712	4529	3870	3796	3908	5662	5340	3544	MED24
ENSG00000008853	2041	1669	2131	1732	1503	1671	2542	2146	1808	RHOBTB2
ENSG00000008869	597	1283	1591	820	1432	862	2069	1991	820	HEATR5B
ENSG00000008952	3699	3597	3347	3902	3936	4200	2118	3551	4189	SEC62
ENSG00000008988	34258	17283	18824	34172	16511	28333	19753	19952	30262	RPS20
ENSG00000009307	16270	19478	19963	18033	20884	19164	18869	22012	17587	CSDE1
ENSG00000009335	5915	9875	10704	6290	9358	7032	11021	12125	6272	UBE3C
ENSG00000009413	756	1494	1509	804	1678	987	1625	2377	969	REV3L
ENSG00000009694	0	0	0	0	0	0	0	0	0	TENM1
ENSG00000009709	0	0	0	0	0	0	0	0	0	PAX7
ENSG00000009724	45	65	79	57	39	37	49	67	43	MASP2
ENSG00000009765	0	0	0	0	0	0	0	0	0	IYD
ENSG00000009780	344	305	371	341	373	340	203	265	318	FAM76A
ENSG00000009790	36	17	9	47	28	34	25	13	18	TRAF3IP3
ENSG00000009830	1768	1980	2408	2221	2202	2046	3251	3038	2294	POMT2
ENSG00000009844	2407	2592	2371	2644	2842	2598	2113	2740	2713	VTA1
ENSG00000009950	39	10	22	37	27	24	12	23	16	MLXIPL
ENSG00000009954	8339	13362	13349	8754	11969	9442	15449	16141	8379	BAZ1B
ENSG00000010017	1393	1800	2077	1637	2092	1863	2189	2620	1725	RANBP9
ENSG00000010030	2	2	1	1	1	2	2	2	2	ETV7
ENSG00000010072	764	838	874	890	1017	971	894	1047	909	SPRTN
ENSG00000010165	5312	5088	5783	6456	5098	6360	7384	6738	6067	METTL13
ENSG00000010219	373	224	338	490	345	460	319	307	475	DYRK4
ENSG00000010244	5759	5734	6195	6258	5177	5827	5273	6318	5340	ZNF207
ENSG00000010256	6362	4319	4668	6734	3936	6050	6066	5545	5748	UQCRC1
ENSG00000010270	3681	3159	3228	4152	3325	4051	2150	3946	4645	STARD3NL
ENSG00000010278	4743	4274	4466	4775	3548	4468	2919	3571	4272	CD9
ENSG00000010282	4	0	2	0	0	5	1	5	6	HHATL
ENSG00000010292	4632	6566	7018	4974	6479	5336	8038	7626	4415	NCAPD2
ENSG00000010295	1357	1112	1578	1320	1027	1068	1341	1322	1134	IFFO1
ENSG00000010310	36	33	67	66	43	77	93	99	61	GIPR
ENSG00000010318	143	209	190	199	192	208	162	260	121	PHF7
ENSG00000010319	132	130	142	205	167	155	293	333	161	SEMA3G
ENSG00000010322	3994	4452	6031	4370	4554	4127	7374	6116	4107	NISCH
ENSG00000010327	8	5	0	4	7	2	13	7	8	STAB1
ENSG00000010361	1301	957	1204	1612	1006	1509	1960	1874	1657	FUZ
ENSG00000010379	3	0	5	0	0	2	2	0	0	SLC6A13
ENSG00000010404	271	865	883	401	947	503	1717	1603	432	IDS
ENSG00000010438	819	512	646	1055	623	1001	1348	1129	1446	PRSS3
ENSG00000010539	732	707	794	722	728	693	832	947	799	ZNF200
ENSG00000010610	12	17	2	14	11	6	12	25	12	CD4
ENSG00000010626	511	376	363	640	279	533	512	434	553	LRRC23
ENSG00000010671	34	17	9	24	4	10	2	1	4	BTK
ENSG00000010704	0	0	1	2	0	1	1	9	0	HFE
ENSG00000010803	1037	1466	1523	1155	1353	1274	1626	1668	1078	SCMH1
ENSG00000010810	1997	1994	2319	2361	1975	1946	3307	3021	2674	FYN
ENSG00000010818	543	1418	1388	821	1735	882	2519	2475	824	HIVEP2
ENSG00000010932	1	0	0	1	0	0	0	7	0	FMO1
ENSG00000011007	2511	2912	3055	3039	2872	2646	3684	4063	2781	ELOA
ENSG00000011009	6911	4838	5797	7162	4608	6984	8140	6647	6897	LYPLA2
ENSG00000011021	669	979	1148	650	801	800	1438	1393	813	CLCN6
ENSG00000011028	17356	17078	21563	18558	17862	20441	27193	21784	16062	MRC2
ENSG00000011052	0	0	0	0	0	0	0	0	0	NME1-NME2
ENSG00000011083	0	0	2	0	0	0	0	0	0	SLC6A7
ENSG00000011105	2692	2649	2783	2728	2409	2664	3179	2770	2212	TSPAN9
ENSG00000011114	1008	1927	1796	1241	1979	1254	1550	2113	1075	BTBD7
ENSG00000011132	718	630	820	947	556	852	917	766	917	APBA3
ENSG00000011143	815	781	990	928	719	917	987	1039	827	MKS1
ENSG00000011198	501	563	536	708	666	631	613	837	873	ABHD5
ENSG00000011201	18	46	49	15	59	27	47	26	32	ANOS1
ENSG00000011243	1743	1483	2134	1798	1251	1600	2017	1524	1429	AKAP8L
ENSG00000011258	1762	2791	2507	1845	2545	1897	2039	2568	1508	MBTD1
ENSG00000011260	3466	2691	3099	3596	2590	3338	2555	3275	3257	UTP18
ENSG00000011275	3583	4307	4746	3649	3961	4027	5590	5462	3723	RNF216
ENSG00000011295	1940	1816	1887	2069	1780	1939	1824	2150	2159	TTC19
ENSG00000011304	13906	19211	20803	15364	18089	16779	19561	19808	13336	PTBP1
ENSG00000011332	725	513	585	827	568	854	890	680	960	DPF1
ENSG00000011347	173	207	313	317	419	384	1533	1254	698	SYT7
ENSG00000011376	1468	1807	1919	1716	1737	1561	2767	2563	1904	LARS2
ENSG00000011405	1479	2913	2793	1763	3620	1891	2222	3411	1367	PIK3C2A
ENSG00000011422	714	616	843	1071	687	1007	1050	877	995	PLAUR
ENSG00000011426	2575	4341	4073	2951	4083	2928	3284	4159	2782	ANLN
ENSG00000011451	4357	6332	6976	4687	5096	5073	7678	6643	4053	WIZ
ENSG00000011454	1445	2365	2327	1667	2288	1723	2826	3150	1910	RABGAP1
ENSG00000011465	1617	1520	1575	2858	2189	2661	914	997	949	DCN
ENSG00000011478	830	572	719	851	567	768	782	636	843	QPCTL
ENSG00000011485	3914	3821	4276	4014	3447	4038	5701	4707	3944	PPP5C
ENSG00000011523	1154	1603	1963	1295	1530	1374	2047	1965	1338	CEP68
ENSG00000011566	794	1165	1267	940	1122	1025	964	1310	742	MAP4K3
ENSG00000011590	1	14	2	7	6	12	15	6	6	ZBTB32
ENSG00000011600	0	0	0	0	2	0	0	2	0	TYROBP
ENSG00000011638	339	280	308	440	314	395	378	466	426	LDAF1
ENSG00000011677	389	456	518	401	526	466	499	570	340	GABRA3
ENSG00000012048	1950	2611	2501	2055	2398	1837	2073	2635	1582	BRCA1
ENSG00000012061	2772	1744	2132	2869	1899	2936	2576	2295	2645	ERCC1
ENSG00000012124	0	0	0	0	0	0	0	0	0	CD22
ENSG00000012171	677	523	675	977	648	968	756	552	770	SEMA3B
ENSG00000012174	2233	3161	3309	2402	3374	2406	3352	4612	2685	MBTPS2
ENSG00000012211	0	0	0	4	1	0	8	0	0	PRICKLE3
ENSG00000012223	60	84	54	67	32	29	864	776	658	LTF
ENSG00000012232	4659	6697	6993	5802	6565	6287	11650	10650	6232	EXTL3
ENSG00000012504	0	0	0	0	0	0	0	0	0	NR1H4
ENSG00000012660	4102	5574	5401	4617	5409	4886	4337	6316	4729	ELOVL5
ENSG00000012779	0	0	2	2	3	0	2	0	0	ALOX5
ENSG00000012817	0	0	0	7	0	0	0	0	0	KDM5D
ENSG00000012822	1737	1894	2715	2076	1994	2110	2940	2617	1799	CALCOCO1
ENSG00000012963	2130	2298	2561	2513	2471	2439	2592	3578	2531	UBR7
ENSG00000012983	1684	2256	2215	1666	2352	1697	1523	2339	1448	MAP4K5
ENSG00000013016	994	1344	1525	1412	1722	1581	2251	2005	1343	EHD3
ENSG00000013275	7733	6081	6919	8693	5718	7862	8843	8367	8278	PSMC4
ENSG00000013288	833	1181	1374	1083	1186	997	2111	1932	1242	MAN2B2
ENSG00000013293	52	128	123	146	218	155	740	992	472	SLC7A14
ENSG00000013297	10	10	18	30	25	37	30	47	61	CLDN11
ENSG00000013306	7899	5642	7215	8094	5475	7966	9420	8134	8855	SLC25A39
ENSG00000013364	1750	1197	1494	2825	1815	2909	3290	2681	3326	MVP
ENSG00000013374	5021	4540	4794	5485	4669	5364	4603	5606	5398	NUB1
ENSG00000013375	1420	2002	2050	1913	2163	1960	2037	2404	2067	PGM3
ENSG00000013392	453	444	548	585	579	661	656	662	667	RWDD2A
ENSG00000013441	1474	1028	1377	1647	1071	1406	884	1116	1349	CLK1
ENSG00000013503	340	557	522	441	528	513	561	631	432	POLR3B
ENSG00000013523	613	1000	1185	714	1046	849	1248	1137	780	ANGEL1
ENSG00000013561	1985	1835	1811	2297	1888	2219	2380	2854	3021	RNF14
ENSG00000013563	270	343	393	273	261	351	531	469	371	DNASE1L1
ENSG00000013573	1649	1697	2239	1741	1426	1627	2021	1887	1294	DDX11
ENSG00000013583	396	279	343	531	270	403	454	407	477	HEBP1
ENSG00000013588	127	106	90	151	140	149	140	130	75	GPRC5A
ENSG00000013619	87	131	115	29	76	42	120	129	42	MAMLD1
ENSG00000013725	4	2	13	28	6	26	22	6	22	CD6
ENSG00000013810	5789	4368	4551	5882	3864	5231	5965	5129	5286	TACC3
ENSG00000014123	513	792	792	635	856	703	428	709	531	UFL1
ENSG00000014138	523	284	382	627	275	425	412	369	533	POLA2
ENSG00000014164	1101	1134	1329	1076	902	1189	1514	1185	956	ZC3H3
ENSG00000014216	6044	5507	6387	6503	5127	6435	8774	8178	6636	CAPN1
ENSG00000014257	85	121	127	104	156	149	77	117	57	ACP3
ENSG00000014641	5206	3577	4084	5978	3847	5330	4882	5133	6260	MDH1
ENSG00000014824	3747	4082	4301	3977	4443	3782	3258	5204	3960	SLC30A9
ENSG00000014914	351	493	650	501	435	473	209	193	154	MTMR11
ENSG00000014919	1203	1375	1365	1618	1619	1386	1495	2077	1729	COX15
ENSG00000015133	901	1242	1345	696	1048	856	1895	1547	813	CCDC88C
ENSG00000015153	672	630	576	703	673	653	291	529	932	YAF2
ENSG00000015171	2641	3446	3508	2659	3837	3272	2829	3559	2643	ZMYND11
ENSG00000015285	28	26	68	37	31	32	44	37	56	WAS
ENSG00000015413	2	0	0	24	14	17	6	0	0	DPEP1
ENSG00000015475	3610	2438	2872	3576	2397	3333	3082	2903	3396	BID
ENSG00000015479	11	63	61	46	55	61	13	24	24	MATR3
ENSG00000015520	0	0	0	2	0	14	4	9	0	NPC1L1
ENSG00000015532	1167	1135	1224	1389	1353	1552	1948	1459	1147	XYLT2
ENSG00000015568	18	28	23	32	18	26	24	13	32	RGPD5
ENSG00000015592	232	148	146	439	195	333	1334	998	1309	STMN4
ENSG00000015676	7535	7857	8876	8724	7408	9032	12794	11028	8850	NUDCD3
ENSG00000016082	4184	4383	4809	5676	5103	6083	6337	7154	6421	ISL1
ENSG00000016391	194	362	294	245	350	300	346	311	244	CHDH
