ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-445095,Interaction between L1 and Ankyrins,7/265,31/11091,6.608466104509282e-6,4.5177877369008906e-4,3.927136316650971e-4,57731/286/23114/6326/4897/3897/55800,7
R-HSA-397014,Muscle contraction,17/265,205/11091,8.209077023647379e-6,4.991737792096501e-4,4.339122576836405e-4,775/6543/1756/3761/8913/30818/3777/6326/1482/491/4881/6547/55800/25937/51305/478/3768,17
R-HSA-3781865,Diseases of glycosylation,14/265,144/11091,8.629333949102995e-6,4.991737792096501e-4,4.339122576836405e-4,1463/170691/170690/6383/3955/63827/170689/633/10675/4585/2719/79875/10418/10417,14
R-HSA-1296071,Potassium Channels,11/265,103/11091,3.3599499689845065e-5,0.0018047731261973921,0.0015688187449168262,23415/3746/3761/93107/3777/3765/3745/51305/3748/81033/3768,11
R-HSA-6794362,Protein-protein interactions at synapses,10/265,86/11091,3.665179488115285e-5,0.001837476650041796,0.001597246640083924,6804/9379/50944/57497/2902/58512/1741/9066/22941/2892,10
R-HSA-6794361,Neurexins and neuroligins,8/265,55/11091,4.398317723522003e-5,0.0020672093300553415,0.0017969442804652398,6804/9379/50944/2902/58512/1741/9066/22941,8
R-HSA-419037,NCAM1 interactions,7/265,42/11091,5.4162920688194575e-5,0.0023930189112086634,0.002080157816154227,1463/775/6900/8913/2674/1297/4684,7
R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,8/265,57/11091,5.727970798105843e-5,0.0023930189112086634,0.002080157816154227,1463/6383/63827/633/266722/10675/2719/27087,8
R-HSA-3000178,ECM proteoglycans,9/265,76/11091,7.792703475485427e-5,0.0030842700071394957,0.00268103537854651,5054/1463/3910/3673/63827/633/1297/3679/4684,9
R-HSA-2022923,Dermatan sulfate biosynthesis,4/265,11/11091,9.210894700757953e-5,0.0034632964074849905,0.0030105082153529944,1463/63827/633/10675,4
R-HSA-375165,NCAM signaling for neurite out-growth,8/265,63/11091,1.1864128853301835e-4,0.004248488046515705,0.0036930446205014735,1463/57731/775/6900/8913/2674/1297/4684,8
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,7/265,50/11091,1.703955748573602e-4,0.005824430558760675,0.005062949855809603,1463/6383/63827/633/10675/2719/27087,7
R-HSA-112310,Neurotransmitter release cycle,7/265,51/11091,1.9352961977254357e-4,0.006327577133432729,0.005500315509324924,6804/6853/10815/4128/1103/6572/8224,7
R-HSA-5083635,Defective B3GALTL causes PpS,6/265,37/11091,2.1928459753186197e-4,0.006810150817032764,0.005919797952655861,170691/170690/170689/79875/10418/10417,6
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,8/265,69/11091,2.2640129045986584e-4,0.006810150817032764,0.005919797952655861,170691/170690/3955/170689/4585/79875/10418/10417,8
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,6/265,38/11091,2.552459830536986e-4,0.007352797019996414,0.00639149908933059,170691/170690/170689/79875/10418/10417,6
R-HSA-2024101,CS/DS degradation,4/265,14/11091,2.639967015158287e-4,0.007352797019996414,0.00639149908933059,1463/63827/633/10675,4
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,6/265,41/11091,3.915431528386923e-4,0.010153118997748158,0.008825709543115352,1463/6383/63827/633/10675/2719,6
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,6/265,41/11091,3.915431528386923e-4,0.010153118997748158,0.008825709543115352,7277/10382/57576/2902/1741/7280,6
R-HSA-375280,Amine ligand-binding receptors,6/265,42/11091,4.477731915304412e-4,0.01122418133436306,0.009756742173347509,1131/1128/1813/3357/3352/1129,6
R-HSA-1296072,Voltage gated Potassium channels,6/265,43/11091,5.101056734581854e-4,0.01237417633679211,0.010756387885145439,23415/3746/93107/3745/3748/81033,6
R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,4/265,17/11091,5.931639419022838e-4,0.013516948009409618,0.01174975463863854,6804/10815/1103/6572,4
R-HSA-416993,Trafficking of GluR2-containing AMPA receptors,4/265,17/11091,5.931639419022838e-4,0.013516948009409618,0.01174975463863854,5582/7102/80852/2892,4
R-HSA-3000157,Laminin interactions,5/265,30/11091,6.548605545726679e-4,0.014483974618783714,0.01259035307707823,3910/3673/10319/3914/3679,5
R-HSA-181429,Serotonin Neurotransmitter Release Cycle,4/265,18/11091,7.484160642574615e-4,0.015153489637571507,0.013172336317093934,6804/6853/10815/8224,4
R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,4/265,18/11091,7.484160642574615e-4,0.015153489637571507,0.013172336317093934,7277/10382/2697/7280,4
R-HSA-399719,Trafficking of AMPA receptors,5/265,31/11091,7.657348487070708e-4,0.015153489637571507,0.013172336317093934,5582/10369/7102/80852/2892,5
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",5/265,31/11091,7.657348487070708e-4,0.015153489637571507,0.013172336317093934,5582/10369/7102/80852/2892,5
R-HSA-190872,Transport of connexons to the plasma membrane,4/265,19/11091,9.303273020688035e-4,0.017490153278893507,0.015203506699598081,7277/10382/2697/7280,4
R-HSA-5576886,Phase 4 - resting membrane potential,4/265,19/11091,9.303273020688035e-4,0.017490153278893507,0.015203506699598081,3761/3777/51305/3768,4
R-HSA-5668914,Diseases of metabolism,15/265,250/11091,9.818492923735218e-4,0.018008552874753374,0.015654131208317254,1463/170691/170690/6383/3955/63827/170689/633/4128/10675/4585/2719/79875/10418/10417,15
R-HSA-2022870,Chondroitin sulfate biosynthesis,4/265,20/11091,0.0011412546720538474,0.02043389317582127,0.017762384745499734,1463/63827/633/10675,4
R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea,7/265,69/11091,0.0012522634942379114,0.021900049945742076,0.019036857525624066,6804/6855/6853/8927/9381/491/494513,7
R-HSA-8849932,Synaptic adhesion-like molecules,4/265,21/11091,0.0013835543601141542,0.023360441317747314,0.020306318670662207,57497/2902/1741/2892,4
R-HSA-5173105,O-linked glycosylation,9/265,112/11091,0.0014261380988069075,0.023360441317747314,0.020306318670662207,170691/170690/170689/79623/4585/79875/10418/442117/10417,9
R-HSA-70635,Urea cycle,3/265,10/11091,0.0014289631657132664,0.023360441317747314,0.020306318670662207,162417/445/1373,3
R-HSA-442755,Activation of NMDA receptors and postsynaptic events,8/265,93/11091,0.001686368818369255,0.02698190109390808,0.02345431212110431,7277/10382/4137/57576/2902/1741/7280/2892,8
R-HSA-1474228,Degradation of the extracellular matrix,10/265,140/11091,0.0019254954170942174,0.030166094867809405,0.02622220732490152,170690/4327/10893/63827/1303/50859/4318/3914/64386/1297,10
R-HSA-212676,Dopamine Neurotransmitter Release Cycle,4/265,23/11091,0.00197163637329511,0.03025858270852903,0.026302603390252702,6804/6853/10815/8224,4
R-HSA-9659379,Sensory processing of sound,7/265,76/11091,0.002203234383344548,0.03275286376325405,0.028470784430264233,6804/6855/6853/8927/9381/491/494513,7
R-HSA-9031628,NGF-stimulated transcription,5/265,39/11091,0.002221271345646219,0.03275286376325405,0.028470784430264233,7425/2353/429/23237/6446,5
R-HSA-112308,Presynaptic depolarization and calcium channel opening,3/265,12/11091,0.002528519727863043,0.03656628529525016,0.03178564273285324,10369/774/55799,3
R-HSA-3000171,Non-integrin membrane-ECM interactions,6/265,59/11091,0.0027430189189783143,0.03891981560512627,0.0338314746511526,3910/3673/6383/10319/1756/3914,6
R-HSA-1630316,Glycosaminoglycan metabolism,9/265,126/11091,0.0032035784061721115,0.04461279558224866,0.038780159653662404,1463/6383/63827/633/266722/10675/2719/27087/3037,9
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",4/265,27/11091,0.0036258268534593244,0.04957494170548021,0.04309355934924862,5054/79365/8553/56938,4
R-HSA-975634,Retinoid metabolism and transport,5/265,44/11091,0.0038034126348604714,0.051074398239554904,0.04439697831293897,4035/6383/8644/2719/1645,5
R-HSA-418359,Reduction of cytosolic Ca++ levels,3/265,14/11091,0.004038180016285461,0.05146968427536724,0.04474058501540181,6543/491/6547,3
R-HSA-5578768,Physiological factors,3/265,14/11091,0.004038180016285461,0.05146968427536724,0.04474058501540181,1482/4881/25937,3
R-HSA-5682910,LGI-ADAM interactions,3/265,14/11091,0.004038180016285461,0.05146968427536724,0.04474058501540181,6804/10369/203190,3
R-HSA-8957275,Post-translational protein phosphorylation,8/265,108/11091,0.0042939735505795155,0.05381780183392993,0.0467817118405242,29106/7425/718/6383/7857/2719/1114/7018,8
R-HSA-9619483,Activation of AMPK downstream of NMDARs,4/265,29/11091,0.004727133192240234,0.058275478042043534,0.05065659555446394,7277/10382/4137/7280,4
R-HSA-8874081,MET activates PTK2 signaling,4/265,30/11091,0.005353636674958331,0.06493443192852685,0.05644496392443334,3910/3673/10319/3914,4
R-HSA-6806667,Metabolism of fat-soluble vitamins,5/265,48/11091,0.005551316057753384,0.06626332818143722,0.05760012150150129,4035/6383/8644/2719/1645,5
R-HSA-196807,Nicotinate metabolism,4/265,31/11091,0.00603332583440296,0.07089157855423478,0.06162327867046445,952/4907/23057/54981,4
R-HSA-1592389,Activation of Matrix Metalloproteinases,4/265,33/11091,0.0075597099241229305,0.0874600286606222,0.07602558482397312,10893/50859/4318/64386,4
R-HSA-196854,Metabolism of vitamins and cofactors,11/265,198/11091,0.007997158203946217,0.09111913589950842,0.07920630374243383,952/4907/4035/6383/160428/23057/8644/6472/2719/54981/1645,11
R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,3/265,18/11091,0.008436595973742246,0.09469134585453984,0.08231148624813724,6804/10815/4128,3
R-HSA-71387,Metabolism of carbohydrates,14/265,290/11091,0.009894790428534184,0.10942474120967216,0.09511865102352522,1463/6383/63827/633/2523/8707/266722/10675/2719/226/27087/2026/3037/8708,14
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),8/265,125/11091,0.010164015971319353,0.11057425163228136,0.096117875509024,29106/7425/718/6383/7857/2719/1114/7018,8
R-HSA-190861,Gap junction assembly,4/265,36/11091,0.01029281597640917,0.11057425163228136,0.096117875509024,7277/10382/2697/7280,4
R-HSA-438064,Post NMDA receptor activation events,6/265,80/11091,0.012094373530390959,0.12809815344864792,0.11135071849329556,7277/10382/4137/2902/1741/7280,6
R-HSA-983189,Kinesins,5/265,59/11091,0.013139564451162052,0.1372354509343592,0.11929341409607654,7277/10382/3798/7280/547,5
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),15/265,334/11091,0.014311434973012904,0.1467660729668249,0.1275780113555407,718/1131/1128/3627/1813/3357/6387/4852/23566/2834/3352/1910/7852/4988/1129,15
R-HSA-389977,Post-chaperonin tubulin folding pathway,3/265,22/11091,0.014843677811773556,0.1467660729668249,0.1275780113555407,7277/10382/7280,3
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",3/265,22/11091,0.014843677811773556,0.1467660729668249,0.1275780113555407,2902/1741/2892,3
R-HSA-9033658,Blood group systems biosynthesis,3/265,22/11091,0.014843677811773556,0.1467660729668249,0.1275780113555407,2523/8707/8708,3
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),5/265,61/11091,0.015027909067081804,0.1467660729668249,0.1275780113555407,7425/2353/429/23237/6446,5
R-HSA-8875878,MET promotes cell motility,4/265,41/11091,0.016132096432357145,0.1555299553478535,0.1351961118015356,3910/3673/10319/3914,4
R-HSA-166663,Initial triggering of complement,3/265,23/11091,0.016774484027545344,0.15967610112296327,0.13880019428521864,718/716/715,3
R-HSA-264876,Insulin processing,3/265,25/11091,0.021038124125917733,0.19531690546531033,0.16978135259512558,6804/3800/3798,3
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,3/265,25/11091,0.021038124125917733,0.19531690546531033,0.16978135259512558,7277/10382/7280,3
R-HSA-112311,Neurotransmitter clearance,2/265,10/11091,0.02255113274386588,0.20431869666731498,0.17760625788130266,43/4128,2
R-HSA-1855167,Synthesis of pyrophosphates in the cytosol,2/265,10/11091,0.02255113274386588,0.20431869666731498,0.17760625788130266,55190/170685,2
R-HSA-9660826,Purinergic signaling in leishmaniasis infection,3/265,26/11091,0.023371757067860693,0.20677130958860285,0.1797382184413807,4907/718/834,3
R-HSA-9664424,Cell recruitment (pro-inflammatory response),3/265,26/11091,0.023371757067860693,0.20677130958860285,0.1797382184413807,4907/718/834,3
R-HSA-190828,Gap junction trafficking,4/265,47/11091,0.025441911731838768,0.21741270025389492,0.18898836346258224,7277/10382/2697/7280,4
R-HSA-437239,Recycling pathway of L1,4/265,47/11091,0.025441911731838768,0.21741270025389492,0.18898836346258224,7277/10382/3897/7280,4
R-HSA-977606,Regulation of Complement cascade,4/265,47/11091,0.025441911731838768,0.21741270025389492,0.18898836346258224,718/716/3426/715,4
R-HSA-400253,Circadian Clock,5/265,70/11091,0.025754777261515358,0.21761339888381515,0.18916282293791883,5054/79365/8553/56938/8204,5
R-HSA-1483191,Synthesis of PC,3/265,28/11091,0.028442574054508576,0.23248712705424404,0.2020919735451925,43/1103/64900,3
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,3/265,28/11091,0.028442574054508576,0.23248712705424404,0.2020919735451925,7277/10382/7280,3
R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,3/265,28/11091,0.028442574054508576,0.23248712705424404,0.2020919735451925,7402/1821/25937,3
R-HSA-157858,Gap junction trafficking and regulation,4/265,49/11091,0.029133346130902297,0.23557286333804867,0.20477428350073942,7277/10382/2697/7280,4
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,6/265,99/11091,0.031133011009975935,0.2363237299655508,0.2054269825148475,7277/10382/3798/7280/547/63908,6
R-HSA-1296041,Activation of G protein gated Potassium channels,3/265,29/11091,0.03117897107707798,0.2363237299655508,0.2054269825148475,3761/3765/3768,3
R-HSA-1296059,G protein gated Potassium channels,3/265,29/11091,0.03117897107707798,0.2363237299655508,0.2054269825148475,3761/3765/3768,3
R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,3/265,29/11091,0.03117897107707798,0.2363237299655508,0.2054269825148475,3761/3765/3768,3
R-HSA-500792,GPCR ligand binding,18/265,468/11091,0.03178039089467791,0.2363237299655508,0.2054269825148475,718/1131/1128/3627/1813/3357/7432/6387/4852/23566/2834/3352/1910/2912/7852/4988/1129/117,18
R-HSA-1296346,Tandem pore domain potassium channels,2/265,12/11091,0.03205454847936992,0.2363237299655508,0.2054269825148475,3777/51305,2
R-HSA-390666,Serotonin receptors,2/265,12/11091,0.03205454847936992,0.2363237299655508,0.2054269825148475,3357/3352,2
R-HSA-451306,Ionotropic activity of kainate receptors,2/265,12/11091,0.03205454847936992,0.2363237299655508,0.2054269825148475,2901/1741,2
R-HSA-451308,Activation of Ca-permeable Kainate Receptor,2/265,12/11091,0.03205454847936992,0.2363237299655508,0.2054269825148475,2901/1741,2
R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,4/265,51/11091,0.03312630712802119,0.24154495018827288,0.20996558520005246,7277/10382/51560/7280,4
R-HSA-9833482,PKR-mediated signaling,5/265,75/11091,0.033405152685612206,0.24154495018827288,0.20996558520005246,7277/10382/57697/4137/7280,5
R-HSA-6807878,COPI-mediated anterograde transport,6/265,101/11091,0.033872562663409676,0.24155128691829988,0.20997109347181445,7277/57731/10382/286/7280/63908,6
R-HSA-418360,Platelet calcium homeostasis,3/265,30/11091,0.034048452677313545,0.24155128691829988,0.20997109347181445,6543/491/6547,3
R-HSA-2022928,HS-GAG biosynthesis,3/265,31/11091,0.0370500734104825,0.2526684754752437,0.21963483100521605,6383/266722/2719,3
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,3/265,31/11091,0.0370500734104825,0.2526684754752437,0.21963483100521605,92737/8788/3714,3
R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,3/265,31/11091,0.0370500734104825,0.2526684754752437,0.21963483100521605,7277/10382/7280,3
R-HSA-425561,Sodium/Calcium exchangers,2/265,13/11091,0.037295479757649,0.2526684754752437,0.21963483100521605,6543/6547,2
R-HSA-432047,Passive transport by Aquaporins,2/265,13/11091,0.037295479757649,0.2526684754752437,0.21963483100521605,358/89872,2
R-HSA-422356,Regulation of insulin secretion,5/265,78/11091,0.038606792300923114,0.25881487921827556,0.2249776595668381,6804/775/1131/6861/3745,5
R-HSA-5620924,Intraflagellar transport,4/265,54/11091,0.0396864372013631,0.25881487921827556,0.2249776595668381,7277/10382/57576/7280,4
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,3/265,32/11091,0.04018269335492199,0.25881487921827556,0.2249776595668381,7277/10382/7280,3
R-HSA-5626467,RHO GTPases activate IQGAPs,3/265,32/11091,0.04018269335492199,0.25881487921827556,0.2249776595668381,7277/10382/7280,3
R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,3/265,32/11091,0.04018269335492199,0.25881487921827556,0.2249776595668381,118788/6850/695,3
R-HSA-8856688,Golgi-to-ER retrograde transport,7/265,133/11091,0.040267740516673194,0.25881487921827556,0.2249776595668381,7277/10382/3798/51560/7280/547/63908,7
R-HSA-166520,Signaling by NTRKs,7/265,134/11091,0.041659638797548075,0.26190608952847944,0.22766472787959932,7425/2353/429/23237/627/6446/117,7
R-HSA-166786,Creation of C4 and C2 activators,2/265,14/11091,0.04283836304787629,0.26190608952847944,0.22766472787959932,716/715,2
R-HSA-190373,FGFR1c ligand binding and activation,2/265,14/11091,0.04283836304787629,0.26190608952847944,0.22766472787959932,7049/2246,2
R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,2/265,14/11091,0.04283836304787629,0.26190608952847944,0.22766472787959932,8644/1645,2
R-HSA-3656237,Defective EXT2 causes exostoses 2,2/265,14/11091,0.04283836304787629,0.26190608952847944,0.22766472787959932,6383/2719,2
R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",2/265,14/11091,0.04283836304787629,0.26190608952847944,0.22766472787959932,6383/2719,2
R-HSA-5578775,Ion homeostasis,4/265,56/11091,0.044441916023158244,0.2687240687550818,0.2335913307627461,6543/491/6547/478,4
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,6/265,108/11091,0.044668229513810144,0.2687240687550818,0.2335913307627461,2353/4128/3598/4318/3566/4988,6
R-HSA-5576892,Phase 0 - rapid depolarisation,3/265,34/11091,0.04683547969995172,0.27732504515247003,0.24106782340381291,775/6326/55800,3
R-HSA-9634815,Transcriptional Regulation by NPAS4,3/265,34/11091,0.04683547969995172,0.27732504515247003,0.24106782340381291,2353/30818/627,3
R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,2/265,15/11091,0.04866589451368033,0.2815134821099047,0.24470866795947763,8644/1645,2
R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,2/265,15/11091,0.04866589451368033,0.2815134821099047,0.24470866795947763,1482/25937,2
R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),2/265,15/11091,0.04866589451368033,0.2815134821099047,0.24470866795947763,5730/8644,2
R-HSA-166658,Complement cascade,4/265,58/11091,0.04950283105051372,0.2841689232823383,0.2470169391913943,718/716/3426/715,4
R-HSA-1296065,Inwardly rectifying K+ channels,3/265,35/11091,0.050352513059349714,0.2868567410653863,0.24935335414558352,3761/3765/3768,3
R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),2/265,16/11091,0.054761419368553714,0.3073178161578537,0.26713936706890695,50855/57530,2
R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,2/265,16/11091,0.054761419368553714,0.3073178161578537,0.26713936706890695,6850/7462,2
R-HSA-187037,Signaling by NTRK1 (TRKA),6/265,115/11091,0.0573968138023555,0.31884562591350374,0.2771600415625502,7425/2353/429/23237/6446/117,6
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,4/265,61/11091,0.057663570643931523,0.31884562591350374,0.2771600415625502,1303/4318/3914/1297,4
R-HSA-913531,Interferon Signaling,11/265,269/11091,0.05824119256569324,0.3196888818204476,0.2778930509665425,7277/10382/57697/4137/2633/4938/3430/2635/7280/3106/4684,11
R-HSA-196757,Metabolism of folate and pterines,2/265,17/11091,0.061108910930294885,0.3306036044574227,0.2873807927884372,160428/6472,2
R-HSA-5602498,MyD88 deficiency (TLR2/4),2/265,17/11091,0.061108910930294885,0.3306036044574227,0.2873807927884372,7096/695,2
R-HSA-1442490,Collagen degradation,4/265,64/11091,0.06649924775383885,0.3559797106678163,0.30943925017457163,4327/1303/4318/1297,4
R-HSA-190242,FGFR1 ligand binding and activation,2/265,18/11091,0.06769295029986401,0.3559797106678163,0.30943925017457163,7049/2246,2
R-HSA-5603041,IRAK4 deficiency (TLR2/4),2/265,18/11091,0.06769295029986401,0.3559797106678163,0.30943925017457163,7096/695,2
R-HSA-9037629,Lewis blood group biosynthesis,2/265,18/11091,0.06769295029986401,0.3559797106678163,0.30943925017457163,8707/8708,2
R-HSA-2682334,EPH-Ephrin signaling,5/265,92/11091,0.06913184617395489,0.36102186335287556,0.31382219644755843,6383/1948/2902/4318/284656,5
R-HSA-170834,Signaling by TGF-beta Receptor Complex,5/265,94/11091,0.07433558265777193,0.3785339689087982,0.3290447854036446,7049/5054/50855/57530/25937,5
R-HSA-888590,"GABA synthesis, release, reuptake and degradation",2/265,19/11091,0.07449870664694433,0.3785339689087982,0.3290447854036446,6804/10815,2
R-HSA-9694614,Attachment and Entry,2/265,19/11091,0.07449870664694433,0.3785339689087982,0.3290447854036446,6383/2719,2
R-HSA-9840309,Glycosphingolipid biosynthesis,2/265,19/11091,0.07449870664694433,0.3785339689087982,0.3290447854036446,7368/2523,2
R-HSA-3928662,EPHB-mediated forward signaling,3/265,42/11091,0.07834942573709512,0.39279178769530354,0.34143855005428825,6383/1948/2902,3
R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,3/265,42/11091,0.07834942573709512,0.39279178769530354,0.34143855005428825,7277/10382/7280,3
R-HSA-877300,Interferon gamma signaling,5/265,96/11091,0.07974690812208456,0.3971501649523681,0.3452271170708575,2633/4938/2635/3106/4684,5
R-HSA-9646399,Aggrephagy,3/265,43/11091,0.08280460453593473,0.4043445624092397,0.3514809256104954,7277/10382/7280,3
R-HSA-977444,GABA B receptor activation,3/265,43/11091,0.08280460453593473,0.4043445624092397,0.3514809256104954,3761/3765/3768,3
R-HSA-991365,Activation of GABAB receptors,3/265,43/11091,0.08280460453593473,0.4043445624092397,0.3514809256104954,3761/3765/3768,3
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,6/265,127/11091,0.08380284463866201,0.4065789623759602,0.3534232021773115,952/4907/160428/23057/6472/54981,6
R-HSA-451927,Interleukin-2 family signaling,3/265,44/11091,0.08736630208751504,0.4196012112294364,0.3647429341734043,3600/6850/3635,3
R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,2/265,21/11091,0.08871887311898988,0.4196012112294364,0.3647429341734043,2902/1741,2
R-HSA-445144,Signal transduction by L1,2/265,21/11091,0.08871887311898988,0.4196012112294364,0.3647429341734043,3897/4684,2
R-HSA-622312,Inflammasomes,2/265,21/11091,0.08871887311898988,0.4196012112294364,0.3647429341734043,834/22861,2
R-HSA-2172127,DAP12 interactions,3/265,45/11091,0.09203188239185733,0.43254984724172946,0.375998677403575,6850/3106/695,3
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,2/265,22/11091,0.09610639264971152,0.44338654768455865,0.3854185975813424,6804/9381,2
R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,2/265,22/11091,0.09610639264971152,0.44338654768455865,0.3854185975813424,2902/1741,2
R-HSA-9768919,NPAS4 regulates expression of target genes,2/265,22/11091,0.09610639264971152,0.44338654768455865,0.3854185975813424,2353/627,2
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,6/265,134/11091,0.10185260576028639,0.46703146055936196,0.40597219625890796,5054/29106/7277/5582/226/7018,6
R-HSA-2187338,Visual phototransduction,5/265,104/11091,0.10341855831811965,0.46960050008375903,0.40820536191491374,4035/6383/8644/2719/1645,5
R-HSA-9820960,Respiratory syncytial virus (RSV) attachment and entry,2/265,23/11091,0.10366181251848935,0.46960050008375903,0.40820536191491374,6383/2719,2
R-HSA-375276,Peptide ligand-binding receptors,8/265,201/11091,0.10907623501250402,0.4813360394602512,0.41840660764951854,718/3627/6387/4852/2834/1910/7852/4988,8
R-HSA-428157,Sphingolipid metabolism,5/265,106/11091,0.10982726973407145,0.4813360394602512,0.41840660764951854,55512/7368/2523/130367/5587,5
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,5/265,106/11091,0.10982726973407145,0.4813360394602512,0.41840660764951854,6572/9892/7018/1129/85439,5
R-HSA-202733,Cell surface interactions at the vascular wall,6/265,137/11091,0.11016690551625334,0.4813360394602512,0.41840660764951854,6383/3897/972/7102/3635/57126,6
R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,2/265,24/11091,0.11137296657723898,0.4813360394602512,0.41840660764951854,8644/1645,2
R-HSA-2024096,HS-GAG degradation,2/265,24/11091,0.11137296657723898,0.4813360394602512,0.41840660764951854,6383/2719,2
