"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0106106","cold-induced thermogenesis","10/296","152/18888",0.0657894736842105,4.19807965860597,4.99501644642405,0.000145319901265553,0.0432034658959954,0.0380980893080853,"GJA1/SYK/IL15/CXCR4/PRLR/ACHE/PHOX2B/PDGFC/YBX2/ARRDC3",10
"BP","GO:0022612","gland morphogenesis","9/296","125/18888",0.072,4.59437837837838,5.08735390545587,0.000157783269004711,0.0432034658959954,0.0380980893080853,"ID4/FGF1/TGM2/SEMA3C/ELF3/SULF2/SOSTDC1/SNAI2/FGL1",9
"BP","GO:0060074","synapse maturation","5/296","34/18888",0.147058823529412,9.38394276629571,6.17376795735158,0.000175160919307203,0.0432034658959954,0.0380980893080853,"SYBU/SHANK1/RELN/SEZ6L/SEZ6",5
"BP","GO:0120162","positive regulation of cold-induced thermogenesis","8/296","101/18888",0.0792079207920792,5.05432164838105,5.15483133567787,0.000189551749045675,0.0432034658959954,0.0380980893080853,"GJA1/SYK/CXCR4/PRLR/ACHE/PHOX2B/PDGFC/YBX2",8
"BP","GO:0070293","renal absorption","5/296","35/18888",0.142857142857143,9.11583011583012,6.06374635196189,0.000201756021694389,0.0432034658959954,0.0380980893080853,"HAS2/AKR1C3/SGK1/GSN/SLC12A3",5
"BP","GO:0032253","dense core granule localization","4/296","20/18888",0.2,12.7621621621622,6.64054183394301,0.000234876535919536,0.0432034658959954,0.0380980893080853,"SYT4/SYBU/KIF1A/MAP2",4
"BP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","6/296","56/18888",0.107142857142857,6.83687258687259,5.5193799840781,0.000236736834725135,0.0432034658959954,0.0380980893080853,"C3/CFI/C1S/NCR3LG1/SVEP1/PTPRC",6
"BP","GO:0030198","extracellular matrix organization","15/296","332/18888",0.0451807228915663,2.8830185607294,4.36762910217736,0.000253316441097628,0.0432034658959954,0.0380980893080853,"HAS2/MMP25/SPINK5/LUM/COL16A1/ELF3/FGFR4/MATN3/HPSE2/COL1A1/MMP19/ADAMTS10/SULF2/TGFBI/PAPLN",15
"BP","GO:0042391","regulation of membrane potential","18/296","446/18888",0.0403587443946188,2.57532420312689,4.2481286103802,0.00025353560641432,0.0432034658959954,0.0380980893080853,"GJA1/GRIK5/GRIN1/CACNA1G/KCNK1/ATP1A3/INSYN2B/PHOX2B/GABRD/SHANK1/NDP/RELN/DCN/GLRX/SOD2/AKAP6/CACNG2/SEZ6",18
"BP","GO:0043062","extracellular structure organization","15/296","333/18888",0.045045045045045,2.87436084733382,4.3542076014999,0.000261591246296722,0.0432034658959954,0.0380980893080853,"HAS2/MMP25/SPINK5/LUM/COL16A1/ELF3/FGFR4/MATN3/HPSE2/COL1A1/MMP19/ADAMTS10/SULF2/TGFBI/PAPLN",15
"BP","GO:0023061","signal release","19/296","487/18888",0.0390143737166324,2.4895388201343,4.20203711932192,0.000263077412295628,0.0432034658959954,0.0380980893080853,"SLC18A3/GJA1/SYK/GRIK5/PTPRN/SYT4/VIP/C1QTNF1/SYBU/VGF/MAOB/TGM2/MYOF/CXCL12/CPLX1/SYT12/RPH3A/CPLX2/SPP1",19
"BP","GO:0045229","external encapsulating structure organization","15/296","334/18888",0.0449101796407186,2.86575497653342,4.34083578127086,0.000270098394348366,0.0432034658959954,0.0380980893080853,"HAS2/MMP25/SPINK5/LUM/COL16A1/ELF3/FGFR4/MATN3/HPSE2/COL1A1/MMP19/ADAMTS10/SULF2/TGFBI/PAPLN",15
"BP","GO:0050808","synapse organization","19/296","493/18888",0.0385395537525355,2.45924017323612,4.14252016605826,0.000306514315044885,0.0446961897518194,0.0394144171903991,"C3/SLC18A3/FILIP1/ZDHHC15/NEFH/ICAM5/SYBU/HMCN2/GAP43/KIF1A/ACHE/APOE/SHANK1/RELN/CACNG2/SRPX2/SEZ6L/TPBG/SEZ6",19
"BP","GO:0061041","regulation of wound healing","9/296","138/18888",0.0652173913043478,4.16157461809636,4.70334280690479,0.000331441423709037,0.0446961897518194,0.0394144171903991,"TSPAN8/CXCR4/CD109/C1QTNF1/SERPINE1/DMTN/APOE/HBEGF/EMILIN2",9
"BP","GO:0007411","axon guidance","12/296","234/18888",0.0512820512820513,3.27234927234927,4.41327833670026,0.000338249533140384,0.0446961897518194,0.0394144171903991,"CHL1/LMO4/DRAXIN/HMCN2/GAP43/SEMA3C/CXCL12/NELL2/LGI1/NDP/UNC5D/RELN",12
"BP","GO:0097485","neuron projection guidance","12/296","234/18888",0.0512820512820513,3.27234927234927,4.41327833670026,0.000338249533140384,0.0446961897518194,0.0394144171903991,"CHL1/LMO4/DRAXIN/HMCN2/GAP43/SEMA3C/CXCL12/NELL2/LGI1/NDP/UNC5D/RELN",12
"BP","GO:1990845","adaptive thermogenesis","10/296","169/18888",0.0591715976331361,3.77578762194147,4.57354077423454,0.000342937517277387,0.0446961897518194,0.0394144171903991,"GJA1/SYK/IL15/CXCR4/PRLR/ACHE/PHOX2B/PDGFC/YBX2/ARRDC3",10
"BP","GO:0007162","negative regulation of cell adhesion","14/296","310/18888",0.0451612903225806,2.88177855274629,4.21516104903921,0.000406500060108126,0.0469580901616843,0.0414090276234712,"GPNMB/ASS1/C1QTNF1/CDKN2A/CXCL12/SERPINE1/DMTN/COL1A1/TGFBI/SNAI2/CD274/ZNF703/FGL1/PTPRC",14
"BP","GO:0031338","regulation of vesicle fusion","4/296","23/18888",0.173913043478261,11.0975323149236,6.11385388460942,0.000413668881788069,0.0469580901616843,0.0414090276234712,"GRIK5/SYT4/CPLX1/CPLX2",4
"BP","GO:0032252","secretory granule localization","4/296","23/18888",0.173913043478261,11.0975323149236,6.11385388460942,0.000413668881788069,0.0469580901616843,0.0414090276234712,"SYT4/SYBU/KIF1A/MAP2",4
"BP","GO:2000311","regulation of AMPA receptor activity","4/296","23/18888",0.173913043478261,11.0975323149236,6.11385388460942,0.000413668881788069,0.0469580901616843,0.0414090276234712,"CNIH3/SHANK1/RELN/CACNG2",4
"BP","GO:0015844","monoamine transport","7/296","87/18888",0.0804597701149425,5.13420316868593,4.87669121362844,0.000433308940456068,0.0476504425457782,0.0420195643573845,"SLC18A3/SYK/SYT4/MAOB/TGM2/CXCL12/SYT12",7
"CC","GO:0062023","collagen-containing extracellular matrix","27/307","428/19894",0.0630841121495327,4.08793266157265,8.0851245309198,6.8392598778319e-10,2.27747353931802e-07,1.929391207641e-07,"LUM/EDIL3/HMCN2/CTSC/HTRA1/SRPX/COL16A1/TGM2/ACHE/CXCL12/TIMP3/SERPINE1/ECM1/APOE/MATN3/COL1A1/ADAMTS10/NDP/GDF15/C17orf58/TGFBI/EMILIN2/DCN/LAMB3/SRPX2/FGL1/NCAN",27
"CC","GO:0043025","neuronal cell body","27/307","488/19894",0.055327868852459,3.58531799006782,7.23921096685055,1.14358666031408e-08,1.90407178942294e-06,1.61305907875881e-06,"PTPRN/SYT4/ASS1/HMCN2/GAP43/TUBB4A/SERPINI1/KCNK1/VGF/MAOB/ATP1A3/BRINP1/MYO1D/ZNF385A/CHRM2/CPLX1/RTN1/APOE/GABRD/MAP2/PRPH/CPLX2/PDE1A/AKAP12/SEZ6L/SEZ6/ADAM21",27
"CC","GO:0008328","ionotropic glutamate receptor complex","6/307","41/19894",0.146341463414634,9.48311750218479,6.80721875252906,3.6700454774314e-05,0.00397736743439943,0.00336947833860929,"GRIK5/GRIN1/CNIH3/OLFM2/CACNG2/DLG3",6
"CC","GO:0098984","neuron to neuron synapse","17/307","360/19894",0.0472222222222222,3.06006152732537,4.93822890961506,4.83350492744079e-05,0.00397736743439943,0.00336947833860929,"ZDHHC15/GRIK5/GRIN1/NEFH/GAP43/TNIK/ATP1A3/INSYN2B/CHRM2/SYT12/GRM7/DMTN/RTN1/PLPPR4/SHANK1/CACNG2/DLG3",17
"CC","GO:0043679","axon terminus","9/307","112/19894",0.0803571428571429,5.20724755700326,5.58994258072431,6.03750315355244e-05,0.00397736743439943,0.00336947833860929,"SLC18A3/PTPRN/SCGN/GRIN1/CHRM2/CPLX1/GAD1/CPLX2/TPBG",9
"CC","GO:0098878","neurotransmitter receptor complex","6/307","46/19894",0.130434782608696,8.45234386064297,6.33503171149689,7.16642780972871e-05,0.00397736743439943,0.00336947833860929,"GRIK5/GRIN1/CNIH3/OLFM2/CACNG2/DLG3",6
"CC","GO:0044306","neuron projection terminus","9/307","128/19894",0.0703125,4.55634161237785,5.05340875156534,0.000169011549966933,0.00804012087699839,0.00681129254002076,"SLC18A3/PTPRN/SCGN/GRIN1/CHRM2/CPLX1/GAD1/CPLX2/TPBG",9
"CC","GO:0032279","asymmetric synapse","15/307","329/19894",0.0455927051671733,2.95446669900894,4.47529497134242,0.000196308558145345,0.00817134373279998,0.00692245968196742,"ZDHHC15/GRIK5/GRIN1/NEFH/GAP43/TNIK/INSYN2B/CHRM2/GRM7/DMTN/RTN1/PLPPR4/SHANK1/CACNG2/DLG3",15
"CC","GO:0043198","dendritic shaft","5/307","39/19894",0.128205128205128,8.30785935020463,5.71903698809806,0.000317198754761767,0.0108760941554219,0.00921382403557158,"GRM7/CNIH3/MAP2/JPH4/SEZ6",5
"CC","GO:0043083","synaptic cleft","4/307","22/19894",0.181818181818182,11.782055078472,6.33472059980236,0.000326609434096754,0.0108760941554219,0.00921382403557158,"GRIN1/ACHE/APOE/LGI1",4
"CC","GO:0043204","perikaryon","9/307","151/19894",0.0596026490066225,3.86232931380374,4.42014856478513,0.000574936863117624,0.0157414313063921,0.013335557420936,"PTPRN/ASS1/GAP43/SERPINI1/KCNK1/MYO1D/CPLX1/PRPH/CPLX2",9
"CC","GO:0043195","terminal bouton","5/307","45/19894",0.111111111111111,7.20014477017734,5.21283692054281,0.000624182619837573,0.0157414313063921,0.013335557420936,"SLC18A3/SCGN/GRIN1/CPLX1/CPLX2",5
"CC","GO:0032281","AMPA glutamate receptor complex","4/307","26/19894",0.153846153846154,9.96943122024555,5.72940957684801,0.000635854255857673,0.0157414313063921,0.013335557420936,"CNIH3/OLFM2/CACNG2/DLG3",4
"CC","GO:0098978","glutamatergic synapse","16/307","409/19894",0.039119804400978,2.53501429561256,3.92698498523169,0.000661801916785254,0.0157414313063921,0.013335557420936,"FILIP1/ICAM5/SYT4/VGF/TNIK/CHRM2/CPLX1/APOE/PLPPR4/SHANK1/LGI1/ABLIM3/CPLX2/CACNG2/DLG3/ADAM23",16
"CC","GO:0150034","distal axon","12/307","272/19894",0.0441176470588235,2.85888101168806,3.86455751259004,0.00111890742321701,0.0239149480930667,0.0202598580336395,"SLC18A3/BASP1/PTPRN/SCGN/GRIN1/GAP43/CHRM2/CPLX1/MAP2/GAD1/CPLX2/TPBG",12
"CC","GO:0005788","endoplasmic reticulum lumen","13/307","313/19894",0.0415335463258786,2.69142791728674,3.77610095603655,0.00122088323598238,0.0239149480930667,0.0202598580336395,"C3/IGFBP3/EVA1A/CTSC/VGF/COL16A1/ERP27/APOL1/APOE/MATN3/COL1A1/PDGFC/SPP1",13
"CC","GO:0014069","postsynaptic density","13/307","313/19894",0.0415335463258786,2.69142791728674,3.77610095603655,0.00122088323598238,0.0239149480930667,0.0202598580336395,"ZDHHC15/GRIK5/GRIN1/NEFH/GAP43/TNIK/INSYN2B/DMTN/RTN1/PLPPR4/SHANK1/CACNG2/DLG3",13
"CC","GO:0097440","apical dendrite","3/307","17/19894",0.176470588235294,11.4355240467523,5.38888198022633,0.00210771436855542,0.0389927158182752,0.0330331842557223,"MYO1D/MAP2/SEZ6",3
"CC","GO:0099572","postsynaptic specialization","13/307","341/19894",0.0381231671554252,2.47043090355058,3.42886572431123,0.00259459156277866,0.0454736310739629,0.0385235755581541,"ZDHHC15/GRIK5/GRIN1/NEFH/GAP43/TNIK/INSYN2B/DMTN/RTN1/PLPPR4/SHANK1/CACNG2/DLG3",13
"CC","GO:0030133","transport vesicle","15/307","434/19894",0.0345622119815668,2.23967636860355,3.26901668113997,0.00320846500568862,0.0495239254606542,0.0419548349089785,"SLC18A3/UNC13D/PTPRN/SCGN/GRIN1/SYT4/VGF/MYOF/SYT12/FGFR4/CNIH3/RPH3A/SLC17A5/STON1/SVOP",15
"CC","GO:0097060","synaptic membrane","14/307","397/19894",0.035264483627204,2.28518448625276,3.23826360919286,0.0036427256437859,0.0495239254606542,0.0419548349089785,"GRIK5/GRIN1/KCNK1/CHRM2/GRM7/CNIH3/GABRD/PLPPR4/SHANK1/RPH3A/CACNG2/SRPX2/DLG3/ADAM23",14
"CC","GO:0070382","exocytic vesicle","10/307","235/19894",0.0425531914893617,2.75750225240834,3.39300482688754,0.00367253637306622,0.0495239254606542,0.0419548349089785,"SLC18A3/UNC13D/GRIN1/SYT4/MYOF/SYT12/RPH3A/SLC17A5/STON1/SVOP",10
"CC","GO:0030672","synaptic vesicle membrane","7/307","128/19894",0.0546875,3.54382125407166,3.61466079158479,0.00375653968770225,0.0495239254606542,0.0419548349089785,"SLC18A3/SYT4/MYOF/SYT12/RPH3A/SLC17A5/SVOP",7
"CC","GO:0099501","exocytic vesicle membrane","7/307","128/19894",0.0546875,3.54382125407166,3.61466079158479,0.00375653968770225,0.0495239254606542,0.0419548349089785,"SLC18A3/SYT4/MYOF/SYT12/RPH3A/SLC17A5/SVOP",7
"CC","GO:0045211","postsynaptic membrane","11/307","276/19894",0.0398550724637681,2.58266062408535,3.31474665298518,0.0038878646869591,0.0495239254606542,0.0419548349089785,"GRIK5/GRIN1/CHRM2/GRM7/CNIH3/GABRD/PLPPR4/SHANK1/RPH3A/CACNG2/DLG3",11
"CC","GO:0044304","main axon","5/307","68/19894",0.0735294117647059,4.76480168614677,3.89326869015771,0.00399439161590501,0.0495239254606542,0.0419548349089785,"TUBB4A/MYO1D/MAP2/LGI1/KCNAB1",5
"CC","GO:0030658","transport vesicle membrane","10/307","238/19894",0.0420168067226891,2.7227438206553,3.34731801602762,0.00401545341572872,0.0495239254606542,0.0419548349089785,"SLC18A3/PTPRN/SCGN/SYT4/MYOF/SYT12/CNIH3/RPH3A/SLC17A5/SVOP",10
"MF","GO:0005178","integrin binding","14/300","157/18522",0.089171974522293,5.50547770700637,7.2742802225338,2.76999762859181e-07,0.000151518870283972,0.000139083038825083,"GPNMB/SYK/FGF1/TSPAN8/ITGA7/ICAM5/EDIL3/NRG1/COL16A1/CXCL12/TGFBI/SPP1/SVEP1/ADAM23",14
"MF","GO:0005201","extracellular matrix structural constituent","13/300","166/18522",0.0783132530120482,4.83506024096386,6.36842490102787,3.20911531707615e-06,0.000877693039220328,0.000805656845392277,"LUM/EDIL3/HMCN2/SRPX/COL16A1/ECM1/MATN3/COL1A1/TGFBI/EMILIN2/DCN/LAMB3/SRPX2",13
